2010-12-15,19.7
2010-12-17,9.05
2010-12-19,11.7
2010-12-20,51.9
2010-12-21,153.9
2010-12-22,35.2
2010-12-25,13.100000000000001
2010-12-26,70.3
2010-12-28,9.85
2010-12-31,18.049999999999997
2011-01-01,60.099999999999994
2011-01-03,6.85
2011-01-04,102.25000000000001
2011-01-06,50.0
2011-01-07,21.75
2011-01-08,29.15
2011-01-09,6.5
2011-01-10,33.9
2011-01-11,2.9
2011-01-12,40.7
2011-01-13,28.75
2011-01-14,22.6
2011-01-15,46.9
2011-01-16,6.85
2011-01-25,26.1
2011-01-26,47.5
2011-01-28,149.65
2011-01-29,49.849999999999994
2011-02-02,10.05
2011-02-03,43.45
2011-02-10,4.95
2011-02-11,8.55
2011-02-12,33.15
2011-02-15,152.15
2011-02-16,16.25
2011-02-19,8.55
2011-02-20,71.3
2011-02-22,18.15
2011-02-24,5.949999999999999
2011-02-25,94.75
2011-02-26,36.2
2011-02-27,23.3
2011-03-01,20.15
2011-03-02,40.3
2011-03-03,9.3
2011-03-07,21.0
2011-03-08,5.7
2011-03-09,77.35000000000001
2011-03-10,18.25
2011-03-12,13.4
2011-03-13,19.15
2011-03-14,35.0
2011-03-15,29.700000000000003
2011-03-16,8.0
2011-03-17,6.5
2011-03-18,18.7
2011-03-19,73.25
2011-03-26,20.15
2011-03-28,8.55
2011-03-30,20.0
2011-03-31,39.45
2011-04-01,18.25
2011-04-02,4.95
2011-04-03,10.0
2011-04-04,20.55
2011-04-07,11.3
2011-04-08,9.55
2011-04-13,39.2
2011-04-14,24.25
2011-04-15,9.15
2011-04-17,18.25
2011-04-19,18.15
2011-04-22,9.15
2011-04-23,5.1
2011-04-27,8.8
2011-05-03,11.7
2011-05-05,24.450000000000003
2011-05-08,26.6
2011-05-14,26.85
2011-05-27,312.05
2011-05-28,66.65
2011-05-31,25.05
2011-06-07,65.45
2011-06-08,64.0
2011-06-13,90.15
2011-06-14,8.55
2011-06-15,34.35
2011-06-19,25.8
2011-06-20,20.25
2011-06-21,10.3
2011-06-24,33.9
2011-06-26,36.25
2011-06-28,5.35
2011-06-29,12.95
2011-06-30,41.0
2011-07-02,171.05
2011-07-03,90.3
2011-07-08,5.65
2011-07-09,9.3
2011-07-10,5.65
2011-07-17,16.950000000000003
2011-07-22,20.85
2011-07-23,10.0
2011-07-27,11.75
2011-07-29,7.1
2011-08-03,13.75
2011-08-05,10.0
2011-08-07,54.35
2011-08-13,27.35
2011-08-17,25.2
2011-08-18,38.7
2011-08-30,33.8
2011-08-31,27.35
2011-09-01,8.0
2011-09-03,59.55
2011-09-06,26.1
2011-09-09,8.8
2011-09-10,35.95
2011-09-13,56.15
2011-09-15,67.1
2011-09-16,10.85
2011-09-18,120.4
2011-09-22,174.95000000000002
2011-09-26,9.15
2011-09-27,8.8
2011-09-28,6.1
2011-09-30,25.6
2011-10-01,11.3
2011-10-02,6.1
2011-10-09,35.65
2011-10-15,38.95
2011-10-19,12.2
2011-10-23,11.3
2011-10-26,20.0
2011-10-27,20.0
2011-10-29,19.05
2011-10-30,44.8
2011-10-31,28.45
2011-11-02,38.1
2011-11-04,36.75
2011-11-09,10.45
2011-11-16,20.0
2011-11-20,13.45
2011-11-21,10.9
